PdfFileName,FileSize,SentenceNums,Status,OpenFileTS, StartCheckTS, EndCheckTS, CheckTime(ms), TotalTime(ms), 
./pdf1\A blockchain framework for smart mobility.pdf,273.929 KB,387,Pass,1594460625894.3425,1594460625901.3428,1594460626029.3655,128.0226707458496,135.0231170654297
(Short Paper) Developing a Smart Storage Container for a Blockchain-Based Supply Chain Application.pdf,392.712 KB,192,Pass,1594460669919.7097,1594460669928.7097,1594460670112.686,183.976411819458,192.9764747619629
A blockchain framework for smart mobility.pdf,273.929 KB,387,Pass,1594460670187.2944,1594460670194.0046,1594460670316.0054,122.00093269348145,128.71098518371582
A Blockchain Model for Word-Learning Systems.pdf,340.283 KB,82,Pass,1594460670353.0762,1594460670360.0386,1594460670478.0042,117.9656982421875,124.92799758911133
A Blockchain Proxy for Lightweight IoT Devices.pdf,493.817 KB,222,Pass,1594460670500.0195,1594460670509.0344,1594460670646.0034,136.96908950805664,145.98393440246582
A Blockchain-Based Approach for the Creation of Digital Twins.pdf,2.076 MB,696,Pass,1594460670720.0361,1594460670746.0693,1594460670979.0452,232.97572135925293,259.00912284851074
A Blockchain-based Framework for Detecting Malicious Mobile Applications in App Stores.pdf,263.360 KB,259,Pass,1594460671050.7996,1594460671056.4211,1594460671223.3938,166.97263717651367,172.5940704345703
A Blockchain-based key Management Scheme for Named Data Networking.pdf,1.113 MB,267,Pass,1594460671251.4702,1594460671266.4324,1594460671415.4182,148.9858627319336,163.94782066345215
A Blockchain-Based Trusted Data Management Scheme in Edge Computing.pdf,2.373 MB,593,Pass,1594460671482.5215,1594460671511.5522,1594460675561.7798,4050.227403640747,4079.2582035064697
A consortium blockchain paradigm on hyperledger-based peer-to-peer lending system.pdf,1.068 MB,441,Pass,1594460675666.5586,1594460675680.5903,1594460675938.5571,257.9667568206787,271.99864387512207
A Cooperative Architecture for Blockchain Federated Mediators from Industry Perspective.pdf,367.123 KB,236,Pass,1594460675992.38,1594460675999.383,1594460676181.927,182.54399299621582,189.54706192016602
A Correctable Public Blockchain.pdf,191.349 KB,488,Pass,1594460676224.2349,1594460676229.0698,1594460676579.07,350.00038146972656,354.83527183532715
A Decentralized Service-Platform Towards Cross-Domain Entitlement Handling.pdf,521.863 KB,400,Pass,1594460676681.4058,1594460676690.4336,1594460676828.4045,137.9709243774414,146.99864387512207
